bin_id,latitude,longitude,capacity,zone,bin_type
BIN_001,30.7333,76.7794,100,Residential,General
BIN_002,30.7356,76.7812,100,Residential,General
BIN_003,30.7389,76.7845,100,Residential,Recyclable
BIN_004,30.7412,76.7867,100,Residential,Organic
BIN_005,30.7445,76.7890,150,Commercial,General
BIN_006,30.7467,76.7912,150,Commercial,Recyclable
BIN_007,30.7490,76.7934,100,Commercial,General
BIN_008,30.7512,76.7956,100,Commercial,Organic
BIN_009,30.7534,76.7978,200,Industrial,General
BIN_010,30.7556,76.8000,200,Industrial,Recyclable
BIN_011,30.7578,76.8022,200,Industrial,General
BIN_012,30.7600,76.8044,100,Park,General
BIN_013,30.7622,76.8066,100,Park,Recyclable
BIN_014,30.7644,76.8088,100,Residential,General
BIN_015,30.7666,76.8110,100,Residential,General
BIN_016,30.7688,76.8132,100,Residential,Organic
BIN_017,30.7710,76.8154,150,Commercial,General
BIN_018,30.7732,76.8176,150,Commercial,Recyclable
BIN_019,30.7754,76.8198,100,Residential,General
BIN_020,30.7776,76.8220,100,Residential,General
BIN_021,30.7798,76.8242,100,Park,General
BIN_022,30.7820,76.8264,200,Industrial,General
BIN_023,30.7842,76.8286,100,Residential,Recyclable
BIN_024,30.7864,76.8308,100,Residential,Organic
BIN_025,30.7886,76.8330,150,Commercial,General
