from_bin,to_bin,distance_km
BIN_001,BIN_002,1.2
BIN_001,BIN_003,2.5
BIN_001,BIN_004,3.1
BIN_001,BIN_005,4.8
BIN_001,BIN_006,5.2
BIN_001,BIN_007,6.1
BIN_002,BIN_003,1.1
BIN_002,BIN_004,2.2
BIN_002,BIN_005,4.1
BIN_002,BIN_006,4.5
BIN_002,BIN_007,5.4
BIN_003,BIN_004,1.3
BIN_003,BIN_005,3.2
BIN_003,BIN_006,3.6
BIN_003,BIN_007,4.5
BIN_004,BIN_005,2.8
BIN_004,BIN_006,3.2
BIN_004,BIN_007,4.1
BIN_005,BIN_006,1.5
BIN_005,BIN_007,2.8
BIN_005,BIN_008,3.2
BIN_006,BIN_007,2.2
BIN_006,BIN_008,2.6
BIN_007,BIN_008,1.8
BIN_008,BIN_009,2.5
BIN_008,BIN_010,2.8
BIN_009,BIN_010,1.2
BIN_010,BIN_011,2.1
BIN_011,BIN_012,3.4
BIN_012,BIN_013,1.5
BIN_013,BIN_014,2.3
BIN_014,BIN_015,1.8
BIN_015,BIN_016,2.0
BIN_016,BIN_017,2.9
BIN_017,BIN_018,1.4
BIN_018,BIN_019,2.2
BIN_019,BIN_020,1.6
BIN_020,BIN_021,2.4
BIN_021,BIN_022,3.1
BIN_022,BIN_023,1.9
BIN_023,BIN_024,2.0
BIN_024,BIN_025,2.7
